7850			93859			86022			76272			808			878			134
7900			94509			86622			76567			819			904			168
7950			95159			87222			77046			829			921			160
8000			95809			87822			77553			840			933			159
8050			96459			88422			78127			853			966			166
8100			97109			89022			78664			853			886			156
8150			97759			89622			79294			861			894			144
8200			98417			90231			79826			871			916			160
8250			99117			90881			80770			875			931			149
8300			99817			91531			81153			894			950			182
8350			100517			92181			81684			905			963			180
8400			101217			92831			82091			919			984			186
8450			101917			93481			82948			922			1097			191
8500			102617			94131			83356			925			1118			192
8550			103317			94781			83926			936			341			47
8600			104017			95431			84559			935			353			56
8650			104717			96081			85237			938			354			61
8700			105417			96731			85688			943			359			65
8750			106117			97381			86115			950			361			63
8800			106817			98031			86670			946			329			54
8850			107517			98681			87760			948			337			58
8900			108217			99331			88233			942			343			48
8950			108917			99981			88685			943			351			57
9000			109617			100631			89392			946			355			53
9050			110317			101281			89840			941			362			51
9100			111017			101931			90310			943			363			50
9150			111717			102581			91022			967			360			57
9200			112417			103231			91791			981			365			67
9250			113117			103881			92195			987			373			70
9300			113817			104531			92646			1003			382			74
9350			114517			105181			93265			1008			388			59
9400			115217			105831			94167			1010			389			78
9450			115917			106481			94413			1003			409			60
9500			116617			107131			95332			996			411			74
9550			117317			107781			95537			1003			412			75
9600			118017			108431			96211			1013			418			70
9650			118717			109081			97113			1018			423			83
9700			119417			109731			97838			1025			427			68
9750			120117			110381			97665			972			402			88
9800			120817			111031			98605			977			409			82
9850			121517			111681			99245			979			419			88
9900			122217			112331			99438			988			422			97
9950			122917			112981			100373			994			423			82
10000			123617			113631			101207			999			432			102
10050			124317			114281			101469			993			466			67
10100			125017			114931			102246			1005			471			76
10150			125717			115581			102675			1000			485			93
10200			126417			116231			103286			1001			488			88
10250			127117			116881			103982			1002			495			96
10300			127817			117531			104556			994			502			81
10350			128517			118181			105419			1062			482			83
10400			129217			118831			105269			1073			486			96
10450			129917			119481			106085			1071			491			104
10500			130617			120131			106799			1081			495			80
10550			131317			120781			107463			1089			503			73
10599			132003			121418			107727			1155			538			89
10649			132703			122068			108590			1149			540			81
10699			133403			122718			109138			1147			545			97
10749			134103			123368			109971			1156			548			100
10799			134803			124018			110223			1167			561			82
10849			135503			124668			110755			1165			568			117
10900			136217			125331			111560			1051			556			90
10950			136917			125981			112087			1059			568			106
11000			137617			126631			112542			1066			574			107
11050			138317			127281			113307			1066			582			107
11100			139017			127931			113985			1073			590			95
11150			139717			128581			114779			1060			624			134
11200			140417			129231			115073			1067			637			120
11250			141117			129881			115819			1068			646			110
11300			141817			130531			116113			1071			664			123
11350			142517			131181			116806			1074			672			137
11400			143217			131831			117223			1120			680			106
11450			143917			132481			117897			1116			689			118
11500			144617			133131			118704			1115			693			118
11550			145317			133781			119505			1113			706			134
11600			146017			134431			119868			1122			713			111
11650			146717			135081			120491			1055			701			105
11700			147417			135731			120801			1064			715			115
11750			148117			136381			121235			1061			726			121
11800			148817			137031			122077			1064			736			91
11850			149517			137681			122745			1063			745			106
11900			150217			138331			123148			1110			685			122
11950			150917			138981			123828			1120			693			112
12000			151617			139631			124624			1130			702			133
12050			152317			140281			124952			1146			709			137
12100			153017			140931			125770			1147			720			133
12149			153703			141568			126248			1210			767			138
12199			154403			142218			127016			1210			772			133
12249			155103			142868			127189			1224			777			124
12299			155803			143518			127731			1224			786			148
12349			156503			144168			128700			1218			798			138
12399			157203			144818			129193			1184			843			135
12449			157903			145468			129722			1189			854			147
12499			158603			146118			130439			1192			862			153
12549			159303			146768			131068			1203			868			149
12600			160017			147431			131179			1254			895			166
12650			160717			148081			132108			1257			906			166
12700			161417			148731			132727			1272			931			159
12750			162117			149381			133133			1276			947			151
12800			162817			150031			133672			1286			955			165
12850			163517			150681			134456			1193			930			162
12900			164217			151331			135106			1190			933			148
12950			164917			151981			135647			1201			941			168
13000			165617			152631			136133			1203			952			146
13050			166317			153281			136891			1333			955			160
13100			167017			153931			137408			1338			966			172
13150			167717			154581			137857			1345			972			178
13200			168417			155231			138291			1358			991			176
13250			169117			155881			139239			1369			1006			184
13300			169817			156531			139624			1260			1022			169
13350			170517			157181			140530			1257			1032			155
13400			171217			157831			140685			1263			1038			175
13450			171917			158481			141603			1259			1046			158
13500			172617			159131			141877			1332			1010			201
13550			173317			159781			142468			1332			1021			191
13600			174017			160431			142978			1336			1027			188
13650			174717			161081			143630			1346			1041			177
13699			175403			161718			144214			1386			1178			193
13749			176103			162368			144681			1401			1187			185
13799			176803			163018			145619			1406			1194			180
13849			177503			163668			146150			1411			1202			206
13900			178217			164331			146809			1360			1151			209
13950			178917			164981			146981			1373			1162			237
14000			179617			165631			147935			1377			1172			217
14050			180317			166281			148392			1383			1182			227
14100			181017			166931			149293			1384			1188			226
14149			181703			167568			149632			1490			1241			215
14199			182403			168218			150544			1489			1251			233
14249			183103			168868			150389			1486			1263			234
14299			183803			169518			151524			1495			1288			224
14349			184503			170168			151988			1395			1265			210
14399			185203			170818			152478			1402			1281			237
14449			185903			171468			153048			1412			1293			240
14499			186603			172118			153680			1418			1306			237
14550			187317			172781			154377			1430			1399			232
14600			188017			173431			154549			1433			1409			222
14650			188717			174081			155375			1450			1420			229
14700			189417			174731			156211			1447			1428			238
14749			190103			175368			156825			1582			1398			242
14799			190803			176018			157199			1590			1407			253
14849			191503			176668			157766			1590			1423			262
14898			192189			177305			158509			1443			1442			243
14948			192889			177955			158739			1448			1450			230
14998			193589			178605			159575			1455			1462			247
15048			194289			179255			160281			1457			1473			237
15100			195017			179931			161005			1485			1424			230
15150			195717			180581			161266			1489			1428			251
15200			196417			181231			161744			1497			1440			246
15250			197117			181881			162272			1502			1453			256
15299			197803			182518			162916			1558			1529			268
15349			198503			183168			163537			1563			1544			309
15399			199203			183818			164328			1569			1567			281
15449			199903			184468			164528			1576			1587			273
15500			200617			185131			165145			1605			1551			316
15550			201317			185781			165863			1616			1566			269
15600			202017			186431			166594			1612			1581			287
15650			202717			187081			166966			1617			1591			280
15699			203403			187718			167723			1693			1669			295
15749			204103			188368			168224			1708			1686			306
15799			204803			189018			169108			1725			1699			293
15850			205517			189681			169596			1651			1708			314
15900			206217			190331			169862			1666			1726			298
15950			206917			190981			171020			1676			1743			319
16000			207617			191631			171237			1686			1754			326
16050			208317			192281			172124			1664			1751			310
16100			209017			192931			172517			1680			1767			320
16150			209717			193581			173064			1686			1776			328
16200			210417			194231			173943			1740			1776			358
16250			211117			194881			174531			1754			1791			323
16300			211817			195531			175058			1774			1808			351
16350			212517			196181			175082			1790			1825			342
16400			213233			196848			176233			1703			1894			345
16450			213983			197548			176709			1710			1905			328
16500			214733			198248			177242			1711			1922			324
16550			215483			198948			178035			1791			1839			339
16600			216233			199648			178528			1791			1855			328
16650			216983			200348			179432			1799			1873			335
16700			217733			201048			180118			1803			1891			330
16750			218483			201748			180703			1744			1901			342
16800			219233			202448			181090			1757			1916			349
16850			219983			203148			181585			1764			1929			339
16899			220718			203834			182648			1932			1936			380
16949			221468			204534			183096			1952			1951			384
16999			222218			205234			183891			1957			1968			385
17049			222968			205934			184383			1961			1978			421
17099			223718			206634			185275			1940			572			114
17149			224468			207334			185642			1942			574			88
17199			225218			208034			186167			1942			575			114
17250			225983			208748			186851			2005			597			106
17300			226733			209448			187184			2002			599			77
17350			227483			210148			188253			1998			603			106
17400			228233			210848			188860			1901			567			123
17450			228983			211548			189300			1905			572			114
17500			229733			212248			190045			1905			577			88
17549			230468			212934			190768			1813			575			98
17599			231218			213634			191447			1826			586			127
17649			231968			214334			192406			1827			591			106
17700			232733			215048			192615			1888			619			101
17750			233483			215748			193492			1891			636			95
17800			234233			216448			194117			1888			637			117
17850			234983			217148			194329			1885			641			111
17900			235733			217848			195148			1880			642			117
17950			236483			218548			195916			1882			651			116
18000			237233			219248			196398			1931			676			118
18050			237983			219948			196824			1940			686			132
18100			238733			220648			197864			1950			696			125
18150			239483			221348			198670			1932			667			135
18200			240233			222048			198828			1936			670			121
18250			240983			222748			199346			1933			674			111
18300			241733			223448			200147			1948			713			158
18350			242483			224148			201051			1957			718			133
18400			243233			224848			201508			1953			725			121
18450			243983			225548			202268			1919			666			113
18500			244733			226248			202940			1922			673			102
18550			245483			226948			203224			1913			678			122
18600			246233			227648			204015			1951			771			132
18650			246983			228348			204632			1961			775			122
18700			247733			229048			205309			1962			781			134
18750			248483			229748			205609			1980			821			125
18800			249233			230448			206483			1980			828			129
18850			249983			231148			207132			1981			835			129
18899			250718			231834			207718			2044			775			134
18949			251468			232534			208303			2055			783			150
18999			252218			233234			209000			2055			785			126
19049			252968			233934			210006			2008			788			151
19099			253718			234634			210356			2021			798			139
19150			254483			235348			211034			1957			857			144
19200			255233			236048			211741			1952			862			154
19250			255983			236748			211928			1954			864			145
19299			256718			237434			212907			1981			817			166
19349			257468			238134			213494			1987			821			162
19399			258218			238834			213868			1992			829			168
19448			258953			239520			214774			1990			783			154
19498			259703			240220			215562			1994			788			147
19548			260453			240920			216123			1993			796			167
19599			261218			241634			216733			1918			848			125
19649			261968			242334			217360			1920			854			146
19697			262688			243006			218317			2025			816			168
19747			263438			243706			218803			2030			820			174
19797			264188			244406			219239			2032			824			162
19850			264983			245148			220016			1941			846			136
19900			265733			245848			220628			1944			854			154
19950			266483			246548			221238			1948			859			144
19999			267218			247234			222180			2029			888			164
20049			267968			247934			222472			2038			893			156
20099			268718			248634			222998			2012			896			170
20149			269468			249334			223603			2016			899			149
20199			270218			250034			224123			2018			900			165
20250			270983			250748			225071			2090			961			152
20300			271733			251448			225616			2091			964			158
20350			272483			252148			226295			2090			966			149
20400			273233			252848			226812			2070			899			167
20450			273983			253548			227493			2064			904			164
20500			274733			254248			227975			2059			975			158
20550			275483			254948			228787			2060			985			184
20600			276233			255648			229845			2069			990			173
20649			276968			256334			230062			2072			931			186
20699			277718			257034			230736			2074			941			184
20750			278483			257748			231346			2135			987			150
20800			279233			258448			232111			2137			992			151
20850			279983			259148			232792			2132			1000			156
20900			280733			259848			233261			2263			1067			203
20950			281483			260548			234122			2275			1075			175
21000			282233			261248			234911			2293			1085			191
21050			282983			261948			235077			2170			1048			210
21100			283733			262648			235756			2174			1053			206
21150			284483			263348			236117			2060			1043			167
21200			285233			264048			237512			2072			1051			171
21250			285983			264748			237459			2035			1042			190
21300			286733			265448			238479			2056			1052			181
21350			287483			266148			238795			2061			1065			183
21400			288233			266848			240224			2127			1086			189
21450			288983			267548			240090			2131			1094			184
21500			289733			268248			240889			2136			1102			193
21550			290483			268948			241327			2205			1149			215
